full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,94541,94541,13565,3563,3563,2166,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,128426,128426,17948,1740,1740,650,https://github.com/affaan-m/everything-claude-code
claude-code-best/claude-code,4435,4435,5839,2987,2987,3793,https://github.com/claude-code-best/claude-code
Kuberwastaken/claude-code,4643,4643,5745,1483,1483,1318,https://github.com/Kuberwastaken/claude-code
shareAI-lab/learn-claude-code,45755,45755,7159,636,636,199,https://github.com/shareAI-lab/learn-claude-code
sanbuphy/claude-code-source-code,8836,8836,16771,4932,4932,9201,https://github.com/sanbuphy/claude-code-source-code
ChinaSiro/claude-code-sourcemap,6339,6339,11221,1831,1831,3224,https://github.com/ChinaSiro/claude-code-sourcemap
jarmuine/claude-code,880,880,3328,338,338,1304,https://github.com/jarmuine/claude-code
hesreallyhim/awesome-claude-code,35218,35218,2635,148,148,42,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30918,30918,2398,39,39,3,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23952,23952,2333,28,28,11,https://github.com/davila7/claude-code-templates
pengchengneo/Claude-Code,648,648,1377,193,193,460,https://github.com/pengchengneo/Claude-Code
shanraisshan/claude-code-best-practice,29336,29336,2503,733,733,100,https://github.com/shanraisshan/claude-code-best-practice
instructkr/claw-code,84075,84075,81773,25203,25203,21065,https://github.com/instructkr/claw-code
VoltAgent/awesome-claude-code-subagents,15851,15851,1785,31,31,5,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6788,6788,1631,13,13,5,https://github.com/anthropics/claude-code-action
oboard/claude-code-rev,1581,1581,2349,670,670,933,https://github.com/oboard/claude-code-rev
Onewon/claude-code,93,93,1214,29,29,469,https://github.com/Onewon/claude-code
Piebald-AI/claude-code-system-prompts,7718,7718,1310,276,276,183,https://github.com/Piebald-AI/claude-code-system-prompts
NanmiCoder/claude-code-haha,1301,1301,1815,1301,1301,1815,https://github.com/NanmiCoder/claude-code-haha
diet103/claude-code-infrastructure-showcase,9389,9389,1201,4,4,1,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7709,7709,1137,45,45,12,https://github.com/Donchitos/Claude-Code-Game-Studios
ponponon/claude_code_src,938,938,1903,530,530,1129,https://github.com/ponponon/claude_code_src
tanbiralam/claude-code,333,333,597,114,114,226,https://github.com/tanbiralam/claude-code
frankbria/ralph-claude-code,8319,8319,606,2,2,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,7009,7009,485,11,11,2,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5657,5657,499,6,6,0,https://github.com/ChrisWiles/claude-code-showcase
beita6969/claude-code,184,184,455,33,33,70,https://github.com/beita6969/claude-code
hangsman/claude-code-source,520,520,1296,113,113,286,https://github.com/hangsman/claude-code-source
pedrohcgs/claude-code-my-workflow,815,815,1558,1,1,13,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3761,3761,553,1,1,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3339,3339,443,6,6,1,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26126,26126,10000,23,23,39,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3451,3451,587,4,4,1,https://github.com/disler/claude-code-hooks-mastery
sickn33/antigravity-awesome-skills,29577,29577,4933,100,100,19,https://github.com/sickn33/antigravity-awesome-skills
anthropics/skills,107852,107852,11994,297,297,60,https://github.com/anthropics/skills
zebbern/claude-code-guide,3776,3776,355,7,7,3,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5286,5286,198,-1,-1,0,https://github.com/kodu-ai/claude-coder
Maciek-roboblog/Claude-Code-Usage-Monitor,7252,7252,354,12,12,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
devnerdly/claude-code-copy,2,2,8035,2,2,8035,https://github.com/devnerdly/claude-code-copy
Yuyz0112/claude-code-reverse,2315,2315,386,0,0,3,https://github.com/Yuyz0112/claude-code-reverse
codeaashu/claude-code,156,156,284,156,156,284,https://github.com/codeaashu/claude-code
