full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,96588,96588,14403,2047,2047,838,https://github.com/anthropics/claude-code
claude-code-best/claude-code,6080,6080,7688,1645,1645,1849,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,129536,129536,18258,1110,1110,310,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,46082,46082,7234,327,327,75,https://github.com/shareAI-lab/learn-claude-code
jarmuine/claude-code,1069,1069,3773,189,189,445,https://github.com/jarmuine/claude-code
ChinaSiro/claude-code-sourcemap,6884,6884,11994,545,545,773,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,35337,35337,2664,119,119,29,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,31004,31004,2412,86,86,14,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23972,23972,2338,20,20,5,https://github.com/davila7/claude-code-templates
pengchengneo/Claude-Code,698,698,1494,50,50,117,https://github.com/pengchengneo/Claude-Code
shanraisshan/claude-code-best-practice,29854,29854,2579,518,518,76,https://github.com/shanraisshan/claude-code-best-practice
VoltAgent/awesome-claude-code-subagents,15881,15881,1787,30,30,2,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6798,6798,1638,10,10,7,https://github.com/anthropics/claude-code-action
NanmiCoder/claude-code-haha,2030,2030,2594,729,729,779,https://github.com/NanmiCoder/claude-code-haha
oboard/claude-code-rev,1797,1797,2587,216,216,238,https://github.com/oboard/claude-code-rev
Onewon/claude-code,108,108,1437,15,15,223,https://github.com/Onewon/claude-code
tanbiralam/claude-code,422,422,768,89,89,171,https://github.com/tanbiralam/claude-code
ponponon/claude_code_src,1137,1137,2222,199,199,319,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,7830,7830,1360,112,112,50,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9390,9390,1201,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
